Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
50,50000,1000,231.0,8.591,50.861,198975.0,192240.0,38340.0,6735.0,7.48,48.847,3390.0,3550.0,540.0,-160.0
51,51000,1000,220.0,8.623,50.695,203130.0,197560.0,39100.0,5570.0,10.235,43.852,4155.0,5320.0,760.0,-1165.0
52,52000,1000,313.0,8.653,50.573,207455.0,202750.0,39770.0,4705.0,10.185,45.455,4325.0,5190.0,670.0,-865.0
53,53000,1000,196.0,8.616,50.56,210475.0,205810.0,40340.0,4665.0,6.65,49.671,3020.0,3060.0,570.0,-40.0
54,54000,1000,262.0,8.656,50.505,215275.0,210970.0,41160.0,4305.0,10.78,48.193,4800.0,5160.0,820.0,-360.0
55,55000,1000,252.0,8.666,50.548,219715.0,214950.0,41960.0,4765.0,9.22,52.732,4440.0,3980.0,800.0,460.0
56,56000,1000,323.0,8.725,50.544,225250.0,220400.0,42960.0,4850.0,11.985,50.387,5535.0,5450.0,1000.0,85.0
57,57000,1000,236.0,8.722,50.602,229580.0,224120.0,43470.0,5460.0,8.56,53.789,4330.0,3720.0,510.0,610.0
58,58000,1000,256.0,8.721,50.549,233380.0,228310.0,44130.0,5070.0,8.65,47.559,3800.0,4190.0,660.0,-390.0
59,59000,1000,214.0,8.706,50.54,236685.0,231630.0,45340.0,5055.0,7.835,49.887,3305.0,3320.0,1210.0,-15.0
60,60000,1000,209.0,8.686,50.532,240245.0,235190.0,45750.0,5055.0,7.53,50.0,3560.0,3560.0,410.0,0.0
61,61000,1000,276.0,8.721,50.586,245610.0,239920.0,46480.0,5690.0,10.825,53.145,5365.0,4730.0,730.0,635.0
62,62000,1000,193.0,8.703,50.706,249610.0,242660.0,47340.0,6950.0,7.6,59.347,4000.0,2740.0,860.0,1260.0
63,63000,1000,274.0,8.701,50.77,253730.0,246030.0,48400.0,7700.0,8.55,55.007,4120.0,3370.0,1060.0,750.0
64,64000,1000,143.0,8.632,50.748,255665.0,248130.0,48640.0,7535.0,4.275,47.955,1935.0,2100.0,240.0,-165.0
65,65000,1000,329.0,8.714,50.751,262365.0,254600.0,49460.0,7765.0,13.99,50.873,6700.0,6470.0,820.0,230.0
66,66000,1000,218.0,8.688,50.75,265615.0,257760.0,50060.0,7855.0,7.01,50.702,3250.0,3160.0,600.0,90.0
67,67000,1000,274.0,8.695,50.782,270000.0,261680.0,50900.0,8320.0,9.145,52.8,4385.0,3920.0,840.0,465.0
68,68000,1000,142.0,8.653,50.895,273315.0,263700.0,51360.0,9615.0,5.795,62.137,3315.0,2020.0,460.0,1295.0
69,69000,1000,290.0,8.697,50.896,278775.0,268960.0,52390.0,9815.0,11.75,50.933,5460.0,5260.0,1030.0,200.0
70,70000,1000,256.0,8.715,51.011,284185.0,272920.0,52930.0,11265.0,9.91,57.737,5410.0,3960.0,540.0,1450.0
71,71000,1000,137.0,8.675,51.023,286920.0,275420.0,53560.0,11500.0,5.865,52.245,2735.0,2500.0,630.0,235.0
72,72000,1000,216.0,8.666,50.997,290375.0,279020.0,54570.0,11355.0,8.065,48.972,3455.0,3600.0,1010.0,-145.0
73,73000,1000,223.0,8.638,51.054,293735.0,281610.0,55220.0,12125.0,6.6,56.471,3360.0,2590.0,650.0,770.0
74,74000,1000,171.0,8.607,50.973,295985.0,284690.0,56250.0,11295.0,6.36,42.214,2250.0,3080.0,1030.0,-830.0
75,75000,1000,285.0,8.649,50.969,301400.0,289940.0,57360.0,11460.0,11.775,50.774,5415.0,5250.0,1110.0,165.0
76,76000,1000,313.0,8.694,51.004,306920.0,294840.0,58950.0,12080.0,12.01,52.975,5520.0,4900.0,1590.0,620.0
77,77000,1000,277.0,8.728,51.018,312295.0,299830.0,59930.0,12465.0,11.345,51.857,5375.0,4990.0,980.0,385.0
78,78000,1000,286.0,8.76,51.03,317805.0,304980.0,60530.0,12825.0,11.26,51.689,5510.0,5150.0,600.0,360.0
79,79000,1000,228.0,8.758,51.037,321935.0,308850.0,61100.0,13085.0,8.57,51.625,4130.0,3870.0,570.0,260.0
80,80000,1000,290.0,8.818,51.058,328190.0,314590.0,62670.0,13600.0,13.565,52.147,6255.0,5740.0,1570.0,515.0
81,81000,1000,348.0,8.887,50.941,334305.0,321960.0,63620.0,12345.0,14.435,45.347,6115.0,7370.0,950.0,-1255.0
82,82000,1000,157.0,8.834,50.937,336395.0,324020.0,63970.0,12375.0,4.5,50.361,2090.0,2060.0,350.0,30.0
83,83000,1000,216.0,8.836,50.978,340750.0,327670.0,65000.0,13080.0,9.035,54.403,4355.0,3650.0,1030.0,705.0
84,84000,1000,187.0,8.816,50.992,344280.0,330880.0,65350.0,13400.0,7.09,52.374,3530.0,3210.0,350.0,320.0
85,85000,1000,215.0,8.781,50.987,346995.0,333560.0,65840.0,13435.0,5.885,50.324,2715.0,2680.0,490.0,35.0
86,86000,1000,248.0,8.805,51.078,352665.0,337780.0,66770.0,14885.0,10.82,57.331,5670.0,4220.0,930.0,1450.0
87,87000,1000,187.0,8.784,51.09,355995.0,340810.0,67420.0,15185.0,7.01,52.358,3330.0,3030.0,650.0,300.0
88,88000,1000,300.0,8.81,50.995,360295.0,346240.0,68710.0,14055.0,11.02,44.193,4300.0,5430.0,1290.0,-1130.0
89,89000,1000,329.0,8.857,51.044,366765.0,351760.0,69740.0,15005.0,13.02,53.962,6470.0,5520.0,1030.0,950.0
90,90000,1000,226.0,8.83,51.043,369715.0,354600.0,70420.0,15115.0,6.47,50.95,2950.0,2840.0,680.0,110.0
91,91000,1000,221.0,8.834,51.012,373620.0,358800.0,71480.0,14820.0,9.165,48.18,3905.0,4200.0,1060.0,-295.0
92,92000,1000,254.0,8.859,51.019,379025.0,363880.0,72090.0,15145.0,11.095,51.55,5405.0,5080.0,610.0,325.0
93,93000,1000,203.0,8.845,50.99,382225.0,367380.0,72950.0,14845.0,7.56,47.761,3200.0,3500.0,860.0,-300.0
94,94000,1000,143.0,8.797,50.957,384095.0,369670.0,73180.0,14425.0,4.39,44.952,1870.0,2290.0,230.0,-420.0
95,95000,1000,197.0,8.773,50.972,387325.0,372560.0,73560.0,14765.0,6.5,52.778,3230.0,2890.0,380.0,340.0
96,96000,1000,289.0,8.786,50.974,392080.0,377100.0,74300.0,14980.0,10.035,51.157,4755.0,4540.0,740.0,215.0
97,97000,1000,239.0,8.773,50.964,395465.0,380510.0,75050.0,14955.0,7.545,49.816,3385.0,3410.0,750.0,-25.0
98,98000,1000,223.0,8.748,50.958,398385.0,383410.0,75460.0,14975.0,6.23,50.172,2920.0,2900.0,410.0,20.0
99,99000,1000,208.0,8.735,51.056,402555.0,385900.0,76270.0,16655.0,7.47,62.613,4170.0,2490.0,810.0,1680.0
100,100000,1000,275.0,8.731,51.116,406840.0,389080.0,77200.0,17760.0,8.395,57.401,4285.0,3180.0,930.0,1105.0
