Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
81,81000,1000,166.0,10.377,49.963,384565.0,385140.0,70870.0,-575.0,8.68,50.059,4240.0,4230.0,210.0,10.0
82,82000,1000,255.0,10.4,50.146,391475.0,389200.0,72130.0,2275.0,12.23,62.99,6910.0,4060.0,1260.0,2850.0
83,83000,1000,278.0,10.415,50.219,397595.0,394130.0,72730.0,3465.0,11.65,55.385,6120.0,4930.0,600.0,1190.0
84,84000,1000,248.0,10.421,50.141,402080.0,399820.0,73480.0,2260.0,10.925,44.079,4485.0,5690.0,750.0,-1205.0
85,85000,1000,381.0,10.496,50.232,410405.0,406610.0,75110.0,3795.0,16.745,55.078,8325.0,6790.0,1630.0,1535.0
86,86000,1000,167.0,10.46,50.195,413605.0,410390.0,75590.0,3215.0,7.46,45.845,3200.0,3780.0,480.0,-580.0
87,87000,1000,240.0,10.433,50.271,417670.0,413160.0,76800.0,4510.0,8.045,59.473,4065.0,2770.0,1210.0,1295.0
88,88000,1000,243.0,10.409,50.242,421345.0,417290.0,77390.0,4055.0,8.395,47.085,3675.0,4130.0,590.0,-455.0
89,89000,1000,312.0,10.445,50.188,426985.0,423790.0,78860.0,3195.0,13.61,46.458,5640.0,6500.0,1470.0,-860.0
90,90000,1000,229.0,10.414,50.202,430750.0,427280.0,79240.0,3470.0,7.635,51.895,3765.0,3490.0,380.0,275.0
91,91000,1000,199.0,10.377,50.227,434240.0,430320.0,79710.0,3920.0,7.0,53.446,3490.0,3040.0,470.0,450.0
92,92000,1000,285.0,10.379,50.229,438990.0,434980.0,80940.0,4010.0,10.64,50.478,4750.0,4660.0,1230.0,90.0
93,93000,1000,285.0,10.402,50.226,444785.0,440780.0,81830.0,4005.0,12.485,49.978,5795.0,5800.0,890.0,-5.0
94,94000,1000,249.0,10.409,50.179,449465.0,446260.0,82720.0,3205.0,11.05,46.063,4680.0,5480.0,890.0,-800.0
95,95000,1000,257.0,10.399,50.232,454120.0,449930.0,83840.0,4190.0,9.445,55.916,4655.0,3670.0,1120.0,985.0
96,96000,1000,452.0,10.499,50.324,464405.0,458420.0,85070.0,5985.0,20.005,54.78,10285.0,8490.0,1230.0,1795.0
97,97000,1000,285.0,10.538,50.364,471395.0,464580.0,86200.0,6815.0,14.28,53.156,6990.0,6160.0,1130.0,830.0
98,98000,1000,220.0,10.541,50.271,475620.0,470500.0,86900.0,5120.0,10.845,41.646,4225.0,5920.0,700.0,-1695.0
99,99000,1000,213.0,10.508,50.252,478800.0,474000.0,87450.0,4800.0,7.23,47.605,3180.0,3500.0,550.0,-320.0
100,100000,1000,284.0,10.523,50.189,483690.0,480040.0,88540.0,3650.0,12.02,44.739,4890.0,6040.0,1090.0,-1150.0
