Session ID,Cumulative Games,Games Simulated in Session,Games Played in Session,Lifetime Avg Bet (Xbase),Lifetime winrate (W/L x(Base)),Lifetime Amount won (Xbase),Lifetime Amount loss (Xbase),Lifetime Amount push (Xbase),Lifetime Net Gain/Loss (Xbase),Session Avg Bet (Xbase),Session winrate (W/L x(Base)),Session Amount won (Xbase),Session Amount loss (Xbase),Session Amount push (Xbase),Session Net Gain/Loss (Xbase)
84,84000,1000,169.0,4.508,51.236,177070.0,168530.0,33070.0,8540.0,3.73,49.123,1680.0,1740.0,310.0,-60.0
85,85000,1000,205.0,4.519,51.203,179550.0,171110.0,33440.0,8440.0,5.43,49.012,2480.0,2580.0,370.0,-100.0
86,86000,1000,183.0,4.521,51.302,182105.0,172860.0,33870.0,9245.0,4.735,59.35,2555.0,1750.0,430.0,805.0
87,87000,1000,191.0,4.507,51.267,183555.0,174480.0,34070.0,9075.0,3.27,47.231,1450.0,1620.0,200.0,-170.0
88,88000,1000,160.0,4.499,51.295,185455.0,176090.0,34360.0,9365.0,3.8,54.131,1900.0,1610.0,290.0,290.0
89,89000,1000,173.0,4.497,51.238,187320.0,178270.0,34680.0,9050.0,4.365,46.106,1865.0,2180.0,320.0,-315.0
90,90000,1000,190.0,4.506,51.162,189465.0,180860.0,35220.0,8605.0,5.275,45.301,2145.0,2590.0,540.0,-445.0
91,91000,1000,122.0,4.493,51.128,190865.0,182440.0,35560.0,8425.0,3.32,46.98,1400.0,1580.0,340.0,-180.0
92,92000,1000,131.0,4.481,51.162,192580.0,183830.0,35870.0,8750.0,3.415,55.233,1715.0,1390.0,310.0,325.0
93,93000,1000,240.0,4.504,51.101,195480.0,187060.0,36330.0,8420.0,6.59,47.308,2900.0,3230.0,460.0,-330.0
94,94000,1000,165.0,4.503,51.033,197370.0,189380.0,36530.0,7990.0,4.41,44.893,1890.0,2320.0,200.0,-430.0
95,95000,1000,160.0,4.496,51.024,199145.0,191150.0,36860.0,7995.0,3.875,50.071,1775.0,1770.0,330.0,5.0
96,96000,1000,124.0,4.482,50.913,200200.0,193020.0,37080.0,7180.0,3.145,36.068,1055.0,1870.0,220.0,-815.0
97,97000,1000,101.0,4.454,50.907,201010.0,193850.0,37210.0,7160.0,1.77,49.39,810.0,830.0,130.0,-20.0
98,98000,1000,143.0,4.436,50.935,202370.0,194940.0,37370.0,7430.0,2.61,55.51,1360.0,1090.0,160.0,270.0
99,99000,1000,147.0,4.431,50.948,204320.0,196720.0,37670.0,7600.0,4.03,52.279,1950.0,1780.0,300.0,170.0
100,100000,1000,140.0,4.423,50.93,205985.0,198460.0,37890.0,7525.0,3.625,48.899,1665.0,1740.0,220.0,-75.0
